iter	Passed	Remaining
0	0	434
1	0	395
2	1	380
3	1	367
4	1	361
5	2	357
6	2	357
7	2	356
8	3	352
9	3	350
10	3	350
11	4	350
12	4	348
13	4	346
14	5	344
15	5	343
16	5	342
17	6	340
18	6	340
19	6	339
20	7	339
21	7	339
22	7	339
23	8	339
24	8	340
25	9	341
26	9	340
27	9	339
28	10	338
29	10	337
30	10	338
31	11	337
32	11	336
33	11	335
34	12	334
35	12	333
36	12	333
37	13	334
38	13	334
39	13	333
40	14	332
41	14	332
42	14	332
43	15	331
44	15	330
45	15	329
46	16	330
47	16	332
48	17	332
49	17	331
50	17	330
51	18	330
52	18	329
53	18	328
54	19	329
55	19	328
56	19	328
57	20	327
58	20	327
59	20	326
60	21	325
61	21	325
62	21	325
63	22	324
64	22	324
65	22	324
66	23	324
67	23	324
68	23	323
69	24	322
70	24	322
71	24	321
72	25	320
73	25	320
74	25	319
75	26	319
76	26	319
77	26	318
78	27	318
79	27	319
80	28	318
81	28	318
82	28	315
83	28	315
84	29	315
85	29	315
86	29	314
87	30	314
88	30	314
89	31	314
90	31	314
91	31	313
92	32	312
93	32	312
94	32	312
95	33	312
96	33	311
97	33	311
98	34	310
99	34	310
100	34	309
101	35	309
102	35	309
103	35	308
104	36	308
105	36	307
106	36	307
107	37	306
108	37	306
109	37	306
110	38	305
111	38	305
112	38	306
113	39	305
114	39	305
115	40	305
116	40	304
117	40	304
118	41	303
119	41	303
120	41	302
121	41	301
122	42	301
123	42	301
124	43	301
125	43	300
126	43	299
127	43	299
128	44	298
129	44	298
130	45	298
131	45	298
132	45	299
133	46	299
134	46	298
135	46	298
136	47	297
137	47	297
138	47	297
139	48	296
140	48	296
141	48	295
142	49	294
143	49	294
144	49	293
145	50	293
146	50	293
147	50	292
148	51	292
149	51	292
150	51	291
151	52	291
152	52	290
153	52	290
154	53	289
155	53	289
156	53	289
157	54	288
158	54	288
159	54	288
160	55	287
161	55	286
162	55	286
163	56	286
164	56	286
165	56	286
166	57	285
167	57	285
168	57	284
169	58	284
170	58	283
171	58	283
172	59	283
173	59	282
174	59	282
175	60	282
176	60	281
177	60	281
178	61	280
179	61	280
180	61	279
181	62	279
182	62	279
183	62	278
184	63	278
185	63	278
186	63	277
187	64	277
188	64	277
189	64	276
190	65	276
191	65	276
192	65	275
193	66	275
194	66	274
195	66	274
196	67	274
197	67	273
198	67	273
199	68	273
200	68	272
201	68	272
202	69	272
203	69	271
204	70	271
205	70	271
206	70	270
207	70	270
208	71	270
209	71	269
210	72	269
211	72	268
212	72	268
213	73	268
214	73	267
215	73	267
216	74	267
217	74	266
218	74	266
219	74	265
220	75	265
221	75	265
222	76	264
223	76	264
224	76	264
225	77	264
226	77	263
227	77	263
228	78	263
229	78	262
230	78	262
231	79	261
232	79	261
233	79	261
234	80	260
235	80	260
236	80	260
237	81	259
238	81	259
239	81	259
240	82	258
241	82	258
242	82	258
243	83	257
244	83	257
245	83	256
246	84	256
247	84	256
248	84	255
249	85	255
250	85	255
251	85	254
252	86	254
253	86	254
254	86	253
255	87	253
256	87	253
257	87	252
258	88	252
259	88	251
260	88	251
261	89	251
262	89	251
263	90	250
264	90	250
265	90	250
266	91	249
267	91	249
268	91	249
269	91	248
270	92	248
271	92	247
272	92	247
273	93	247
274	93	246
275	94	246
276	94	246
277	94	245
278	94	245
279	95	245
280	95	244
281	95	244
282	96	243
283	96	243
284	96	243
285	97	242
286	97	242
287	97	242
288	98	241
289	98	241
290	98	241
291	99	240
292	99	240
293	99	239
294	100	239
295	100	239
296	100	238
297	101	238
298	101	238
299	101	237
300	102	237
301	102	237
302	103	237
303	103	236
304	103	236
305	104	236
306	104	235
307	104	235
308	105	234
309	105	234
310	105	234
311	106	234
312	106	233
313	106	233
314	107	233
315	107	232
316	107	232
317	108	232
318	108	231
319	108	231
320	109	231
321	109	230
322	109	230
323	110	230
324	110	229
325	110	229
326	111	229
327	111	228
328	111	228
329	112	228
330	112	227
331	112	227
332	113	227
333	113	226
334	114	226
335	114	226
336	115	226
337	115	226
338	115	225
339	116	225
340	116	225
341	116	224
342	117	224
343	117	224
344	117	223
345	118	223
346	118	223
347	118	222
348	119	222
349	119	222
350	119	221
351	120	221
352	120	220
353	120	220
354	121	220
355	121	219
356	121	219
357	122	219
358	122	219
359	123	218
360	123	218
361	123	218
362	124	217
363	124	217
364	124	217
365	125	216
366	125	216
367	125	216
368	126	215
369	126	215
370	126	215
371	127	214
372	127	214
373	127	214
374	128	213
375	128	213
376	128	212
377	129	212
378	129	212
379	129	211
380	130	211
381	130	211
382	130	210
383	131	210
384	131	210
385	132	210
386	132	209
387	132	209
388	133	209
389	133	208
390	133	208
391	134	208
392	134	207
393	134	207
394	135	207
395	135	206
396	135	206
397	136	205
398	136	205
399	136	205
400	137	204
401	137	204
402	137	204
403	138	203
404	138	203
405	138	203
406	139	202
407	139	202
408	139	202
409	140	201
410	140	201
411	140	201
412	141	200
413	141	200
414	141	199
415	142	199
416	142	199
417	142	198
418	143	198
419	143	198
420	143	197
421	144	197
422	144	197
423	144	196
424	145	196
425	145	195
426	145	195
427	146	195
428	146	194
429	146	194
430	147	194
431	147	193
432	147	193
433	147	192
434	148	192
435	148	192
436	148	191
437	149	191
438	149	191
439	149	190
440	150	190
441	150	190
442	151	190
443	151	189
444	151	189
445	152	189
446	152	188
447	152	188
448	153	188
449	153	187
450	153	187
451	154	187
452	154	186
453	154	186
454	155	186
455	155	185
456	155	185
457	156	185
458	156	184
459	157	184
460	157	183
461	157	183
462	157	183
463	158	182
464	158	182
465	158	182
466	159	181
467	159	181
468	160	181
469	160	181
470	161	180
471	161	180
472	161	180
473	162	179
474	162	179
475	162	179
476	163	178
477	163	178
478	163	178
479	164	177
480	164	177
481	164	177
482	165	176
483	165	176
484	165	176
485	166	175
486	166	175
487	166	175
488	167	174
489	167	174
490	168	174
491	168	173
492	168	173
493	168	173
494	169	172
495	169	172
496	170	172
497	170	171
498	170	171
499	171	171
500	171	170
501	171	170
502	172	170
503	172	169
504	172	169
505	173	168
506	173	168
507	173	168
508	174	168
509	174	167
510	174	167
511	175	166
512	175	166
513	175	166
514	176	165
515	176	165
516	176	165
517	177	164
518	177	164
519	177	164
520	178	163
521	178	163
522	178	163
523	179	162
524	179	162
525	179	162
526	180	161
527	180	161
528	180	161
529	181	160
530	181	160
531	181	159
532	182	159
533	182	159
534	182	158
535	183	158
536	183	158
537	183	157
538	184	157
539	184	157
540	184	156
541	185	156
542	185	156
543	185	155
544	186	155
545	186	154
546	186	154
547	187	154
548	187	153
549	187	153
550	187	153
551	188	152
552	188	152
553	189	152
554	189	151
555	189	151
556	189	151
557	190	150
558	190	150
559	190	150
560	191	149
561	191	149
562	191	148
563	192	148
564	192	148
565	192	147
566	193	147
567	193	147
568	193	146
569	194	146
570	194	146
571	194	145
572	195	145
573	195	145
574	195	144
575	196	144
576	196	144
577	196	143
578	197	143
579	197	143
580	197	142
581	198	142
582	198	142
583	198	141
584	199	141
585	199	141
586	199	140
587	200	140
588	200	139
589	200	139
590	201	139
591	201	138
592	201	138
593	202	138
594	202	137
595	202	137
596	203	137
597	203	136
598	203	136
599	204	136
600	204	135
601	204	135
602	205	135
603	205	134
604	205	134
605	206	134
606	206	133
607	206	133
608	207	132
609	207	132
610	207	132
611	208	131
612	208	131
613	208	131
614	208	130
615	209	130
616	209	130
617	209	129
618	210	129
619	210	129
620	210	128
621	211	128
622	211	128
623	211	127
624	212	127
625	212	127
626	212	126
627	213	126
628	213	125
629	213	125
630	214	125
631	214	124
632	214	124
633	215	124
634	215	123
635	215	123
636	216	123
637	216	122
638	216	122
639	217	122
640	217	121
641	217	121
642	218	121
643	218	120
644	218	120
645	219	120
646	219	119
647	219	119
648	220	119
649	220	118
650	220	118
651	221	118
652	221	117
653	221	117
654	222	116
655	222	116
656	222	116
657	223	115
658	223	115
659	223	115
660	224	114
661	224	114
662	224	114
663	225	113
664	225	113
665	225	113
666	226	112
667	226	112
668	226	112
669	227	111
670	227	111
671	227	111
672	228	110
673	228	110
674	228	110
675	229	109
676	229	109
677	229	109
678	230	108
679	230	108
680	230	108
681	231	107
682	231	107
683	231	107
684	232	106
685	232	106
686	232	106
687	233	105
688	233	105
689	233	104
690	234	104
691	234	104
692	234	103
693	234	103
694	235	103
695	235	102
696	235	102
697	236	102
698	236	101
699	236	101
700	237	101
701	237	100
702	237	100
703	238	100
704	238	99
705	238	99
706	239	99
707	239	98
708	239	98
709	240	98
710	240	97
711	240	97
712	241	97
713	241	96
714	241	96
715	242	96
716	242	95
717	242	95
718	243	95
719	243	94
720	243	94
721	244	93
722	244	93
723	244	93
724	245	92
725	245	92
726	245	92
727	246	91
728	246	91
729	246	91
730	247	90
731	247	90
732	247	90
733	248	89
734	248	89
735	248	89
736	249	88
737	249	88
738	249	88
739	249	87
740	250	87
741	250	87
742	250	86
743	251	86
744	251	86
745	251	85
746	252	85
747	252	85
748	252	84
749	253	84
750	253	84
751	253	83
752	254	83
753	254	83
754	254	82
755	255	82
756	255	82
757	255	81
758	256	81
759	256	81
760	256	80
761	257	80
762	257	79
763	257	79
764	258	79
765	258	78
766	258	78
767	259	78
768	259	77
769	259	77
770	260	77
771	260	76
772	260	76
773	261	76
774	261	75
775	261	75
776	262	75
777	262	74
778	262	74
779	263	74
780	263	73
781	263	73
782	264	73
783	264	72
784	264	72
785	265	72
786	265	71
787	265	71
788	266	71
789	266	70
790	266	70
791	267	70
792	267	69
793	267	69
794	268	69
795	268	68
796	268	68
797	269	68
798	269	67
799	269	67
800	269	67
801	270	66
802	270	66
803	270	66
804	271	65
805	271	65
806	271	65
807	272	64
808	272	64
809	272	64
810	273	63
811	273	63
812	273	63
813	274	62
814	274	62
815	274	61
816	275	61
817	275	61
818	275	60
819	276	60
820	276	60
821	276	59
822	277	59
823	277	59
824	277	58
825	278	58
826	278	58
827	279	57
828	279	57
829	279	57
830	279	56
831	280	56
832	280	56
833	281	55
834	281	55
835	281	55
836	281	54
837	282	54
838	282	54
839	282	53
840	283	53
841	283	53
842	283	52
843	284	52
844	284	52
845	285	51
846	285	51
847	285	51
848	286	50
849	286	50
850	286	50
851	287	49
852	287	49
853	287	49
854	288	48
855	288	48
856	288	48
857	289	47
858	289	47
859	289	47
860	290	46
861	290	46
862	290	46
863	290	45
864	291	45
865	291	45
866	291	44
867	292	44
868	292	44
869	292	43
870	293	43
871	293	43
872	293	42
873	294	42
874	294	42
875	294	41
876	295	41
877	295	41
878	295	40
879	296	40
880	296	40
881	296	39
882	297	39
883	297	39
884	297	38
885	298	38
886	298	38
887	298	37
888	299	37
889	299	37
890	299	36
891	300	36
892	300	36
893	301	35
894	301	35
895	301	35
896	301	34
897	302	34
898	302	33
899	302	33
900	303	33
901	303	32
902	304	32
903	304	32
904	304	31
905	305	31
906	305	31
907	305	30
908	306	30
909	306	30
910	306	29
911	307	29
912	307	29
913	307	28
914	308	28
915	308	28
916	308	27
917	309	27
918	309	27
919	309	26
920	310	26
921	310	26
922	310	25
923	311	25
924	311	25
925	311	24
926	312	24
927	312	24
928	312	23
929	313	23
930	313	23
931	313	22
932	314	22
933	314	22
934	314	21
935	315	21
936	315	21
937	315	20
938	316	20
939	316	20
940	316	19
941	317	19
942	317	19
943	317	18
944	318	18
945	318	18
946	318	17
947	319	17
948	319	17
949	319	16
950	320	16
951	320	16
952	320	15
953	320	15
954	321	15
955	321	14
956	321	14
957	322	14
958	322	13
959	322	13
960	323	13
961	323	12
962	323	12
963	324	12
964	324	11
965	324	11
966	325	11
967	325	10
968	325	10
969	326	10
970	326	9
971	326	9
972	327	9
973	327	8
974	327	8
975	328	8
976	328	7
977	328	7
978	329	7
979	329	6
980	329	6
981	330	6
982	330	5
983	330	5
984	331	5
985	331	4
986	331	4
987	332	4
988	332	3
989	332	3
990	333	3
991	333	2
992	333	2
993	333	2
994	334	1
995	334	1
996	334	1
997	335	0
998	335	0
999	335	0
